square,model,MAE,RMSE,MAPE,MASE
5161,seasonal_arimax,84.05568647240918,128.21856388160688,7.729727348418678,0.2419610544674836
5161,tcn,84.24169189210922,123.71563579437095,9.154159925583336,0.24249648602929783
5161,lstm,88.98434987143865,131.5907094090129,9.56845790717484,0.25614860849496646
5161,seasonal naive,338.59370856814917,619.040031777993,24.826022611360564,0.974669224646653
5059,seasonal_arimax,66.91375355884581,94.9193462671616,6.362156286343383,0.24756828440963918
5059,lstm,72.58088534218925,105.9267602159492,7.109647487348465,0.2685356045569365
5059,tcn,74.78963753533742,109.44346733212474,6.889840196559572,0.27670757163486814
5059,seasonal naive,171.73574568733338,245.87018388441297,16.918681366333665,0.6353899111971529
5259,tcn,64.62639947921511,93.02404105118627,6.959441843178311,0.12340979424939076
5259,seasonal_arimax,66.32242462299484,95.14601976757879,6.957428910689921,0.12664850344133588
5259,lstm,73.93345372639006,105.66819791810565,8.101754646753076,0.14118243296928698
5259,seasonal naive,470.32052456386504,861.6205872261353,64.06382858078943,0.8981184103619978
