lag,meaning,acf
1,10 min,0.9871087450543407
6,1 hour,0.9388236404070863
36,6 hours,0.009891430860561264
72,12 hours,-0.6832087579392705
144,1 day,0.8783003262611034
288,2 days,0.769646345706867
1008,1 week,0.8376899163906858
