series,adf_stat,adf_p,kpss_stat,kpss_p,variance
raw,-19.03189925284267,0.0,0.2367231670024985,0.1,1908740.7193333188
first difference,-15.160392512530576,6.603288657603282e-28,0.003336589149355145,0.1,48911.69517847376
seasonal difference,-11.83301586400202,7.909213213244833e-22,0.06937813409312014,0.1,408385.4961022941
